#,English Name,Cost IQD,Chinese Name,Platform,Offline Price IQD,English Support,Cover URL,Store Link,NSUID,Publisher,Languages,Matched Title,Source
1352,Deadly Days,1496,致命时日,Nintendo Switch,5000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_DeadlyDays_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Deadly-Days-1829570.html,,,"chinese, english, french, german, italian, japanese, korean, portuguese, russian, spanish",Deadly Days,EU
1353,Hora da Faxina,1496,扫除大作战,Nintendo Switch 2,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Da-Da-Daungo-2483789.html,,,japanese,Da Da Daungo,EU
1354,Ooblets,1496,高脚精灵,Nintendo Switch,7000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_Ooblets_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Ooblets-2209603.html,,,"english, french, german, spanish",Ooblets,EU
1355,Super Mining Mechs,1496,采矿机器,Nintendo Switch 2,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Super-Mining-Mechs-2923427.html,,,"chinese, dutch, english, french, german, italian, japanese, korean, portuguese, russian, spanish",Super Mining Mechs,EU
1356,Buried Stars,1496,深埋之星,Nintendo Switch,5000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_BuriedStars_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Buried-Stars-1812094.html,,,"chinese, english, japanese, korean",Buried Stars,EU
1357,Airplane Delivery Simulator 2024,1496,飞机货运模拟,Nintendo Switch,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Airplane-Delivery-Simulator-2024-Realistic-Geographical-2567127.html,,,english,Airplane Delivery Simulator 2024: Realistic Geographical,EU
1358,Savage Age,1496,蛮之纪,Nintendo Switch,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Savage-Age-2549924.html,,,"chinese, english, french, german, japanese, korean, russian, spanish",Savage Age,EU
1359,Loretta,1496,洛蕾塔,Nintendo Switch,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Loretta-2547179.html,,,"chinese, english, japanese, korean, russian, spanish",Loretta,EU
1360,Atelier Ryza: Ever Darkness & the Secret Hideout,1496,莱莎的炼金工房,Nintendo Switch,8000,نعم,https://www.nintendo.com/eu/media/images/05_packshots/games_13/nintendo_switch_8/PS_NSwitch_AtelierRyzaEverDarknessAndTheSecretHideout_PEGI_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Atelier-Ryza-Ever-Darkness-and-the-Secret-Hideout-1651289.html,,,english,Atelier Ryza: Ever Darkness and the Secret Hideout,EU
1361,Goblin Slayer -Another Adventurer- Nightmare Feast,1496,哥布林杀手,Nintendo Switch,5000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_GoblinSword_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Goblin-Sword-1721419.html,,,"english, french, german, japanese, spanish",Goblin Sword,EU
1362,Torchlight III,1496,火炬之光3,Nintendo Switch,7000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_TorchlightIII_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Torchlight-III-1822757.html,,,"chinese, english, french, german, italian, japanese, portuguese, russian, spanish",Torchlight III,EU
1363,SteamWorld Heist II,1496,蒸汽世界 劫掠2,Nintendo Switch,7000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/SteamWorld-Heist-II-2558196.html,,,"chinese, english, french, german, italian, japanese, portuguese, russian, spanish",SteamWorld Heist II,EU
1364,Laundry Store Simulator,1496,洗衣店模拟,Nintendo Switch 2,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Laundry-Simulator-2025-2817309.html,,,english,Laundry Simulator 2025,EU
1365,Urban Myth Dissolution Center,1496,都市传说解体中心,Nintendo Switch,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Urban-Myth-Dissolution-Center-2480665.html,,,"chinese, english, french, german, italian, japanese, korean, portuguese, russian, spanish",Urban Myth Dissolution Center,EU
1366,Sea Fantasy,1496,海洋幻想,Nintendo Switch 2,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Sea-Fantasy-2851358.html,,,"chinese, english, japanese, korean",Sea Fantasy,EU
1367,Very Very Valet,1496,胡闹停车,Nintendo Switch 2,5000,نعم,https://www.nintendo.com/eu/media/images/05_packshots/games_13/nintendo_switch_8/PS_NSwitch_VeryVeryValet_PEGI_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Very-Very-Valet-1952355.html,,,"chinese, english, french, german, italian, japanese, korean, russian, spanish",Very Very Valet,EU
1368,Ship of Fools,1496,同舟共济,Nintendo Switch,5000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_ShipOfFools_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Ship-of-Fools-2304790.html,,,"chinese, english, french, german, italian, japanese, korean, russian, spanish",Ship of Fools,EU
1369,Scott Pilgrim EX,1496,歪小子斯科特 EX,Nintendo Switch 2,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Scott-Pilgrim-EX-3017448.html,,,"chinese, english, french, german, italian, japanese, korean, portuguese, russian, spanish",Scott Pilgrim EX,EU
1370,Strange Antiquities,1496,奇异古物,Nintendo Switch 2,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Strange-Antiquities-2888529.html,,,"chinese, english, french, german, italian, korean, portuguese, russian, spanish",Strange Antiquities,EU
1371,Little Rocket Lab,1496,小小火箭实验室,Nintendo Switch 2,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Little-Rocket-Lab-2955324.html,,,"chinese, english, french, german, italian, spanish",Little Rocket Lab,EU
1372,hololive Hanafuda,1496,hololive 花牌,Nintendo Switch 2,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Holo-s-Hanafuda-2877429.html,,,"chinese, dutch, english, french, german, italian, japanese, korean, portuguese, spanish",Holo's Hanafuda,EU
1373,Ninja Ming,1496,忍者明,Nintendo Switch 2,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Ninja-Ming-2920942.html,,,"chinese, english, japanese, portuguese, russian, spanish",Ninja Ming,EU
1374,Code: Realize ~Wintertide Miracles~,1927.2,白银的奇迹,Nintendo Switch,7000,نعم,https://www.nintendo.com/eu/media/images/05_packshots/games_13/nintendo_switch_8/PS_NSwitch_CodeRealizeWintertideMiracles_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Code-Realize-Wintertide-Miracles--1910448.html,,,english,Code: Realize ~Wintertide Miracles~,EU
1375,Pretty Princess Magical Garden Island,1496,漂亮公主 魔法花园小岛,Nintendo Switch,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Pretty-Princess-Magical-Garden-Island-2404453.html,,,english,Pretty Princess Magical Garden Island,EU
1376,Preserve,1496,东篱之下,Nintendo Switch,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Preserve-2783826.html,,,"chinese, english, french, german, italian, japanese, korean, spanish",Preserve,EU
1377,Wand of Fortune R,1496,幸运之杖R,Nintendo Switch,5000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_WandWars_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Wand-Wars-1632410.html,,,english,Wand Wars,EU
1378,On Your Tail,1496,如尾相随,Nintendo Switch,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/On-Your-Tail-2478464.html,,,"chinese, english, french, german, italian, japanese, korean, portuguese, spanish",On Your Tail,EU
